imagePath,labelId
Corn_(maize)___healthy\af57ac04-46ad-4655-81f3-4fc4a01d1c1a___R.S_HL 8238 copy 2.jpg,10
Tomato___Early_blight\5a50d734-271b-43f8-991f-b6e6f264b686___RS_Erly.B 6488.JPG,29
"Pepper,_bell___Bacterial_spot\42ec2c4f-8cb7-47b2-ba27-0950b0b18395___NREC_B.Spot 9143.JPG",18
"Pepper,_bell___healthy\1518ab95-b80e-422f-bf88-d3b3a9fb7095___JR_HL 8009.JPG",19
Corn_(maize)___Common_rust_\RS_Rust 2062.JPG,8
Corn_(maize)___Common_rust_\RS_Rust 2575.JPG,8
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\69641513-2bfe-4281-804d-303295c9e735___FAM_L.Blight 1382.JPG,13
"Pepper,_bell___healthy\d489c307-ff11-45f0-9ea2-1d8bb072a7e7___JR_HL 7749.JPG",19
Corn_(maize)___healthy\b363f87e-e6ee-48e4-a0e8-6efe6e1ab592___R.S_HL 8201 copy 2.jpg,10
Corn_(maize)___Northern_Leaf_Blight\6313736d-ff6e-4180-8f38-8c9e635d9da9___RS_NLB 3865.JPG,9
Potato___Early_blight\044c3abc-0bc9-45fb-8fd5-094aeb605f90___RS_Early.B 8044.JPG,20
Tomato___Leaf_Mold\c0bd50dd-bd61-4b2c-a7f2-84c1730ecfc5___Crnl_L.Mold 6984.JPG,31
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\ab266d06-4dce-4857-b0b6-6df6905f7323___FAM_L.Blight 4590.JPG,13
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\0f3cf98a-45cd-4488-90e3-186b60abf638___FAM_L.Blight 4921.JPG,13
Tomato___Tomato_Yellow_Leaf_Curl_Virus\a5b5d284-5081-4340-9cfa-be58ed74aea3___UF.GRC_YLCV_Lab 02223.JPG,35
Apple___healthy\d45d99cd-6834-4e22-9a4d-f58ef0806ed0___RS_HL 7562.JPG,3
Tomato___Leaf_Mold\8e92b724-a066-4039-a090-2699c5cfed4e___Crnl_L.Mold 6724.JPG,31
Tomato___Late_blight\be8780d8-bf1c-44c6-af2c-5d67fa08d15f___RS_Late.B 4847.JPG,30
Tomato___Tomato_Yellow_Leaf_Curl_Virus\72f3fc35-18ab-47ab-b980-fdd02383cc82___YLCV_GCREC 2032.JPG,35
Corn_(maize)___healthy\16abbd76-6b06-4645-9b18-98ee16e9c067___R.S_HL 8230 copy.jpg,10
Soybean___healthy\7f02e9fa-fd03-4ff5-8f18-7c7a85f7e0ee___RS_HL 6899.JPG,24
Peach___Bacterial_spot\b35894d6-4059-4f1a-a1d3-8cad6b624f18___Rut._Bact.S 1479.JPG,16
Potato___Early_blight\f8de1c8d-67a0-4825-9ad6-e15809ff909c___RS_Early.B 7348.JPG,20
Orange___Haunglongbing_(Citrus_greening)\d09d3fdf-6a16-4a52-9287-3aa3812add61___CREC_HLB 4677.JPG,15
"Pepper,_bell___healthy\4d5c943b-7c66-4f5d-85e3-d8e2f8c3e096___JR_HL 7727.JPG",19
Tomato___Target_Spot\76ec71bb-3411-4af3-9224-3180cb1ec4ea___Com.G_TgS_FL 8032.JPG,34
Grape___healthy\07d28aaf-09ea-4223-9a65-88ef49e54924___Mt.N.V_HL 9121.JPG,14
Tomato___Late_blight\867d2544-e985-4d01-ae0c-9e8d053f6c61___GHLB2 Leaf 9071.JPG,30
Tomato___Tomato_Yellow_Leaf_Curl_Virus\5f4c7b5e-0f27-402e-9226-9a76d5058528___UF.GRC_YLCV_Lab 01481.JPG,35
Tomato___Tomato_Yellow_Leaf_Curl_Virus\d15d303a-ccf0-4be3-89d1-5cab14047b40___UF.GRC_YLCV_Lab 08576.JPG,35
Orange___Haunglongbing_(Citrus_greening)\15c70c5a-4e82-4fd5-98ab-3e64d56cb46b___CREC_HLB 4416.JPG,15
Corn_(maize)___healthy\4375eeae-d9d5-49de-be1e-d58d0909013d___R.S_HL 8078 copy 2.jpg,10
Orange___Haunglongbing_(Citrus_greening)\73e4c77a-dc99-40a8-bb63-6c6bf705b29a___CREC_HLB 6414.JPG,15
Tomato___Tomato_Yellow_Leaf_Curl_Virus\6ad92a75-7e03-4f29-b5a5-072711c425c5___UF.GRC_YLCV_Lab 02855.JPG,35
Orange___Haunglongbing_(Citrus_greening)\244546e6-3416-44ae-8c49-6bb056a23d42___CREC_HLB 7522.JPG,15
Strawberry___Leaf_scorch\9bcdfc47-e072-4c08-9211-906177a22020___RS_L.Scorch 1179.JPG,26
Orange___Haunglongbing_(Citrus_greening)\6b617db5-cede-444c-bfbc-969ceb71aa90___UF.Citrus_HLB_Lab 9632.JPG,15
Tomato___healthy\3d1ab8b2-d61c-4ab1-9222-52bf63eb0315___RS_HL 0548.JPG,37
Grape___Esca_(Black_Measles)\fe25cd8c-5a0d-4b2c-ad68-e8e89ac0a360___FAM_B.Msls 1805.JPG,12
Tomato___healthy\c59a5a86-2645-49e0-a6e0-c9e8112f95d5___GH_HL Leaf 166.1.JPG,37
Blueberry___healthy\f118d8ef-41f2-488b-835f-b3fb169db1e1___RS_HL 0317.JPG,4
Tomato___Tomato_Yellow_Leaf_Curl_Virus\423ec8f2-4225-45e8-a085-8e017fb49df5___UF.GRC_YLCV_Lab 01687.JPG,35
Tomato___Tomato_Yellow_Leaf_Curl_Virus\36f918e5-8c49-4820-a2fe-f3355e9f95e4___YLCV_NREC 2537.JPG,35
Corn_(maize)___healthy\16e1b4a3-65fb-405f-964e-9fa8c45e4e97___R.S_HL 5551 copy 2.jpg,10
Tomato___Septoria_leaf_spot\342ec112-3d10-46a5-ae05-929974059845___JR_Sept.L.S 8435.JPG,32
Tomato___Septoria_leaf_spot\947633cb-9ba7-4703-9afa-9fde8ad25888___JR_Sept.L.S 2539.JPG,32
Orange___Haunglongbing_(Citrus_greening)\d4332578-fc31-4bd5-8c44-f59f83270574___CREC_HLB 4037.JPG,15
Potato___Early_blight\d4f3066f-adb8-401b-a27f-19a12c336ebe___RS_Early.B 8626.JPG,20
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\89a78c7f-dac6-426f-a0ad-397ce80e7a29___RS_GLSp 4289 copy 2.jpg,7
Peach___Bacterial_spot\c8c13e60-0d21-4380-8bc6-a9276a8d9f42___Rutg._Bact.S 1553.JPG,16
Squash___Powdery_mildew\f807fc96-d8f6-45ae-b713-cb5c18fcf0dd___MD_Powd.M 0135.JPG,25
Apple___healthy\9ece0a35-9af4-4974-acad-2aa973badf17___RS_HL 8129.JPG,3
Soybean___healthy\a1115090-23ba-42c7-95a8-b53bed5256e3___RS_HL 5542.JPG,24
Soybean___healthy\e9044e06-547b-4aa4-958e-cae12aaf5174___RS_HL 4037.JPG,24
Corn_(maize)___Northern_Leaf_Blight\d62e34ed-d8ff-4678-9534-fbcadfb91703___RS_NLB 3726.JPG,9
Corn_(maize)___Common_rust_\RS_Rust 1945.JPG,8
Squash___Powdery_mildew\141ff102-df00-47e4-81fe-e217938d28b3___UMD_Powd.M 0155.JPG,25
Tomato___Bacterial_spot\2dd3b6ae-0ddc-4319-8c69-c10adadd038d___GCREC_Bact.Sp 5958.JPG,28
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\c80548a9-7ac3-45cd-a4ca-7675fcdd8491___FAM_L.Blight 4658.JPG,13
Potato___Early_blight\060fd5a7-1606-4a59-895b-604c90d6b414___RS_Early.B 7205.JPG,20
Soybean___healthy\9573d426-34cf-43e8-9aea-f14a0ab71deb___RS_HL 3874.JPG,24
Tomato___healthy\d442075f-73bb-47a0-9545-9b36bca9300b___GH_HL Leaf 210.JPG,37
Apple___healthy\e2799f4e-65ba-4f57-aa7d-9ac6cfa6c300___RS_HL 6265.JPG,3
Strawberry___Leaf_scorch\b788f53f-9320-4ec1-b4f1-3e7c66e0d1c2___RS_L.Scorch 1378.JPG,26
Peach___Bacterial_spot\a3a9ec12-5545-4a0b-a636-405660fc3fe2___Rutg._Bact.S 1657.JPG,16
Tomato___Late_blight\3db1dcda-3180-432a-9b8e-7ba8a0d6be55___GHLB_PS Leaf 28.3 Day 13.JPG,30
Peach___Bacterial_spot\8e1106e9-8f95-43f8-b7c6-9077be6e0a74___Rutg._Bact.S 1302.JPG,16
Tomato___healthy\b114c6fb-8ce0-4342-8e31-00ad83c1e1a5___RS_HL 0358.JPG,37
Grape___Esca_(Black_Measles)\d8e54bec-851f-4b6a-85b1-8e0388a7f530___FAM_B.Msls 1783.JPG,12
Squash___Powdery_mildew\c2ef0728-0b92-47ac-a416-c4a6a6941f2b___UMD_Powd.M 0620.JPG,25
Potato___healthy\51a03694-82cd-43a5-9877-ddce42c1a5ad___RS_HL 1779.JPG,22
Blueberry___healthy\d022d49d-d932-405f-82ef-69fa0607ff83___RS_HL 5045.JPG,4
Squash___Powdery_mildew\da24419d-b8fe-4b9d-88f6-4148e093ca8c___UMD_Powd.M 0258.JPG,25
Tomato___Bacterial_spot\834e7256-4e64-41bf-93e6-60edba4a1e8a___UF.GRC_BS_Lab Leaf 0286.JPG,28
Grape___Esca_(Black_Measles)\8e29857c-f116-4756-b469-9c5b9d01a4d5___FAM_B.Msls 4409.JPG,12
Orange___Haunglongbing_(Citrus_greening)\96f9b639-96ff-4838-8bef-6cc3219c393b___CREC_HLB 5629.JPG,15
Tomato___Tomato_Yellow_Leaf_Curl_Virus\249c9700-e21c-405d-94a9-dbdd4964a38c___YLCV_NREC 2786.JPG,35
Tomato___Late_blight\ecb763a0-f905-48f2-a142-afa120068c82___GHLB2ES Leaf 119.2.JPG,30
Apple___healthy\3100088b-5df1-43b2-a1d9-8ff1d414b67b___RS_HL 5834.JPG,3
Corn_(maize)___Northern_Leaf_Blight\c820ac4f-54d2-4046-bb70-b53fa649f648___RS_NLB 3680.JPG,9
"Pepper,_bell___Bacterial_spot\84f03e83-ac3b-4804-8791-68b2a523b065___NREC_B.Spot 1870.JPG",18
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\06c943c3-7c61-46ec-a6ce-5c8f0536d2b4___FAM_L.Blight 1459.JPG,13
Orange___Haunglongbing_(Citrus_greening)\0a51b9f7-ef8f-4598-b899-ea84d7319b6b___CREC_HLB 4396.JPG,15
"Pepper,_bell___healthy\70ca0253-15fc-4525-8a78-65c813bd2992___JR_HL 7807.JPG",19
Apple___Black_rot\f9747ff8-17a9-4052-a7f0-d7255d520faa___JR_FrgE.S 2904.JPG,1
Soybean___healthy\185caaf1-5b55-4253-8013-61b878d2b3db___RS_HL 5255.JPG,24
Tomato___Bacterial_spot\916574f0-df2f-4d9e-8ba1-0dbd7b702229___UF.GRC_BS_Lab Leaf 0624.JPG,28
Tomato___Spider_mites Two-spotted_spider_mite\2d213315-0896-4c0b-92a6-f7d84b17775f___Com.G_SpM_FL 8884.JPG,33
Squash___Powdery_mildew\fe079f86-bf71-4c4e-9949-8b3b4455d3e2___MD_Powd.M 0884.JPG,25
Tomato___Target_Spot\d8831d7b-d7fa-4c23-a657-5ab283ecca97___Com.G_TgS_FL 8054.JPG,34
Tomato___Septoria_leaf_spot\4dc663c9-994d-4204-ae40-30d5eab53bc9___Matt.S_CG 0678.JPG,32
Orange___Haunglongbing_(Citrus_greening)\1aefd3ef-1e31-4d14-9ce6-cdc682e0a668___CREC_HLB 4311.JPG,15
Tomato___Septoria_leaf_spot\6caf6191-1845-4ab6-abc2-66b371355679___Matt.S_CG 1572.JPG,32
Tomato___Spider_mites Two-spotted_spider_mite\8e9fba34-95ee-409b-b12b-004b23d9b4d0___Com.G_SpM_FL 8775.JPG,33
Tomato___Bacterial_spot\974bfda6-f0ea-48a4-965e-9346c8f2f17b___GCREC_Bact.Sp 6237.JPG,28
Peach___Bacterial_spot\0e40bd19-4ca5-4ce5-b585-3525e6f5c0b4___Rut._Bact.S 0938.JPG,16
Tomato___healthy\8a5ed87d-5122-4aaf-8e39-9a3433c5f76c___RS_HL 0524.JPG,37
Tomato___Target_Spot\e09f19dd-e998-4d13-a09f-1012295dbecc___Com.G_TgS_FL 7952.JPG,34
Orange___Haunglongbing_(Citrus_greening)\daac65c8-f88d-48a5-9656-4a980ca715e8___CREC_HLB 7034.JPG,15
Raspberry___healthy\ccfa5104-5780-4fb5-9d5f-a4f8e75fc576___Mary_HL 6226.JPG,23
Soybean___healthy\27619851-b669-4fc7-80cb-bb7c77e06f14___RS_HL 3394.JPG,24
Tomato___Early_blight\484250ea-cc2c-4614-bee8-7f24007e00ac___RS_Erly.B 9463.JPG,29
Tomato___Bacterial_spot\f848e0cd-2447-4b8f-8467-4e14f4d20e83___GCREC_Bact.Sp 6140.JPG,28
Orange___Haunglongbing_(Citrus_greening)\1aaee3cc-125f-43aa-9923-1f2b6acebee9___UF.Citrus_HLB_Lab 1459.JPG,15
Strawberry___Leaf_scorch\1fdfa208-78e8-4c6f-8ff8-c70241b7354b___RS_L.Scorch 1283.JPG,26
Squash___Powdery_mildew\d10e1158-af24-4e50-bb4a-8c6f3877bc60___UMD_Powd.M 0526.JPG,25
Apple___Black_rot\d65349b4-80ff-474e-a48e-bf8fa597d880___JR_FrgE.S 8775.JPG,1
Tomato___Tomato_Yellow_Leaf_Curl_Virus\04a2f285-b805-4c90-853a-3ee683becb85___UF.GRC_YLCV_Lab 02040.JPG,35
Grape___Black_rot\287d7355-de96-49aa-8835-2ddaa01395ba___FAM_B.Rot 3032.JPG,11
Peach___Bacterial_spot\4bb77a53-989d-4ed6-a533-102414fe28a8___Rut._Bact.S 1117.JPG,16
Tomato___Tomato_Yellow_Leaf_Curl_Virus\3b291d93-3c5d-4a87-88a3-42a59af734df___YLCV_GCREC 5213.JPG,35
Orange___Haunglongbing_(Citrus_greening)\d285000c-7fd8-4be2-b276-63dcf66f67e9___UF.Citrus_HLB_Lab 1233.JPG,15
Soybean___healthy\1ba226b4-8522-4278-b3cc-79805e3e27cf___RS_HL 5260.JPG,24
Grape___Esca_(Black_Measles)\023df989-ab4c-4f66-a6c8-a41c1142ab7d___FAM_B.Msls 1834.JPG,12
Soybean___healthy\1dfd25cd-8294-46ea-bc88-1c8ea0e3521b___RS_HL 3439.JPG,24
Corn_(maize)___healthy\5c0d54a3-39dd-4720-ace7-d571ec6e7b61___R.S_HL 8048 copy.jpg,10
Tomato___healthy\050e7bff-2f2d-4c92-9422-05ce93f1d5a9___RS_HL 0097.JPG,37
Apple___Black_rot\5412de7d-df5d-4a05-be4b-e108811c4a3e___JR_FrgE.S 2820.JPG,1
Soybean___healthy\1f22efed-6dea-40b6-9597-5f6abe515095___RS_HL 4673.JPG,24
Strawberry___healthy\6baab67a-a32d-4b53-a966-feea0ccdef77___RS_HL 4712.JPG,27
Tomato___Late_blight\c2d71717-0650-4ab0-859e-a7390243b2bc___RS_Late.B 6443.JPG,30
Orange___Haunglongbing_(Citrus_greening)\5d8c045e-a685-4e8f-b58b-30fa07f56800___CREC_HLB 4552.JPG,15
Tomato___Bacterial_spot\a8c12fae-22eb-46c8-a7dc-374225d050ba___GCREC_Bact.Sp 3122.JPG,28
Cherry_(including_sour)___Powdery_mildew\c11965f5-8920-4266-9f47-5dce992bd4c6___FREC_Pwd.M 4525.JPG,5
Tomato___Bacterial_spot\de0d63c7-a1a2-43e0-9316-44381a5cb46a___GCREC_Bact.Sp 3858.JPG,28
Cherry_(including_sour)___healthy\a0b4d7a4-947b-4ca7-9984-88da24f41390___JR_HL 9468.JPG,6
Soybean___healthy\4d396c6d-66d5-424f-b90d-db43a3ef8d10___RS_HL 4292.JPG,24
Tomato___Septoria_leaf_spot\a14b1dd0-e8ce-4c8c-82ff-0196c8507c14___JR_Sept.L.S 2522.JPG,32
Orange___Haunglongbing_(Citrus_greening)\30de0621-3565-4d4f-8401-8b955ba7e412___UF.Citrus_HLB_Lab 1482.JPG,15
Blueberry___healthy\c0cabde2-0a12-48d2-afa9-3596ed4d0144___RS_HL 2649.JPG,4
Squash___Powdery_mildew\d65dde23-d48a-455d-bf67-7af4f6e7b92e___UMD_Powd.M 9935.JPG,25
Raspberry___healthy\ce871ad5-f65e-4906-9512-a0998da7fdc8___Mary_HL 9213.JPG,23
Tomato___Tomato_mosaic_virus\9ef0e7b7-ce38-4829-aad9-23b954a26000___PSU_CG 2324.JPG,36
Tomato___Spider_mites Two-spotted_spider_mite\9c82d063-388e-4747-bdd5-c369b1b80972___Com.G_SpM_FL 9648.JPG,33
Tomato___healthy\6bcd0525-7b7a-4503-aff0-73cc04db5105___RS_HL 9916.JPG,37
Soybean___healthy\e68c21c4-ab57-4081-9780-92905d9950a7___RS_HL 3734.JPG,24
Soybean___healthy\6a2d66eb-414f-49cf-ba38-277a860f689c___RS_HL 6309.JPG,24
Peach___Bacterial_spot\28a81056-d43c-48d6-be1c-6558d53103ba___Rutg._Bact.S 1578.JPG,16
"Pepper,_bell___healthy\9b929dc5-778f-45ee-a872-b66cbf78a9e7___JR_HL 7937.JPG",19
Tomato___Early_blight\3af16e88-1b4d-46d5-a099-7450600f11e8___RS_Erly.B 9545.JPG,29
Tomato___Target_Spot\9b48e330-216d-4da6-89ce-10425eeb8578___Com.G_TgS_FL 8007.JPG,34
Soybean___healthy\904ac1c8-4a60-457b-b27f-65493c71af6b___RS_HL 3320.JPG,24
Tomato___Tomato_Yellow_Leaf_Curl_Virus\4c308e9f-c30c-440f-9bb7-5b0ba49fc352___YLCV_GCREC 2450.JPG,35
Soybean___healthy\7acc3f61-db2c-4430-88b0-cc2318a77af7___RS_HL 2761.JPG,24
Orange___Haunglongbing_(Citrus_greening)\23d34187-cbfb-4023-9caa-30136861ca6f___UF.Citrus_HLB_Lab 0293.JPG,15
Tomato___Tomato_Yellow_Leaf_Curl_Virus\92f042ea-7da7-43e7-b228-eb901883da85___YLCV_GCREC 5538.JPG,35
Tomato___Bacterial_spot\cfe7ebae-8e0f-4b12-8aae-d76fd249b2c4___GCREC_Bact.Sp 6342.JPG,28
Blueberry___healthy\0c7b9ac5-8174-4dbe-9cc3-043b920ec276___RS_HL 2290.JPG,4
Tomato___Spider_mites Two-spotted_spider_mite\75c39e92-9f7a-4266-b6bb-56bb3cd48dcb___Com.G_SpM_FL 9523.JPG,33
Tomato___Leaf_Mold\0a9b3ff4-5343-4814-ac2c-fdb3613d4e4d___Crnl_L.Mold 6559.JPG,31
Squash___Powdery_mildew\1532d190-6b5a-42ca-bf57-a23bae7ea438___MD_Powd.M 0329.JPG,25
"Pepper,_bell___Bacterial_spot\f2e21841-962e-4044-bb5d-efd8af95df74___NREC_B.Spot 1893.JPG",18
Corn_(maize)___healthy\d4859241-3885-48bd-ace7-b888773dc5db___R.S_HL 0637 copy 2.jpg,10
Tomato___Tomato_Yellow_Leaf_Curl_Virus\0d07c65d-0a4f-4a0b-8e5a-ade16407928a___UF.GRC_YLCV_Lab 02450.JPG,35
Grape___Esca_(Black_Measles)\e923c5ba-9751-49d2-bd83-c8caa16c3f26___FAM_B.Msls 4318.JPG,12
Tomato___Bacterial_spot\f14581e5-cc67-403d-a4f3-7f0be31b4899___GCREC_Bact.Sp 3497.JPG,28
Tomato___Tomato_Yellow_Leaf_Curl_Virus\8346c330-dec6-4c68-814b-d3065a2b1dae___UF.GRC_YLCV_Lab 02742.JPG,35
Corn_(maize)___Common_rust_\RS_Rust 2612.JPG,8
Orange___Haunglongbing_(Citrus_greening)\8dd1c2af-a379-4e1b-bf1d-6e1b73fc4bbb___CREC_HLB 4723.JPG,15
Tomato___Bacterial_spot\759ba7d2-9535-45b5-a11d-935602edf6cd___GCREC_Bact.Sp 3314.JPG,28
Tomato___Bacterial_spot\25202a28-6a47-4ae0-aa2c-9907eb1be14d___GCREC_Bact.Sp 3681.JPG,28
Tomato___Tomato_Yellow_Leaf_Curl_Virus\9d71669a-9d95-4ea2-8190-735149f72b7c___UF.GRC_YLCV_Lab 01530.JPG,35
Cherry_(including_sour)___healthy\1122ce37-d8a9-451e-b78c-841200726e0b___JR_HL 4204.JPG,6
Tomato___Late_blight\5c5a2e9e-e460-403e-9d8a-f961b1f10935___RS_Late.B 5133.JPG,30
Tomato___Late_blight\948465b0-be59-406c-a547-94647d4aaae8___RS_Late.B 6167.JPG,30
Grape___Black_rot\f4939e05-692c-4e69-bb5e-deaa15154031___FAM_B.Rot 0466.JPG,11
Tomato___Bacterial_spot\6df85e24-1b90-4305-96d8-9831116e8cdb___GCREC_Bact.Sp 6221.JPG,28
"Pepper,_bell___healthy\460fc45d-55be-443f-b36d-bcaf8a8bfe6e___JR_HL 8080.JPG",19
Tomato___Septoria_leaf_spot\085e05c8-68e6-45f5-aa76-4d58620c1593___Matt.S_CG 6700.JPG,32
Apple___healthy\23a80c76-8642-4e07-b157-b73eff76c44e___RS_HL 5906.JPG,3
Grape___Esca_(Black_Measles)\f8bff337-eefa-42cd-a196-b0b9832e6610___FAM_B.Msls 3908.JPG,12
Squash___Powdery_mildew\b6146f32-93b2-45ac-9cda-76b1f012aac9___UMD_Powd.M 0607.JPG,25
Tomato___Tomato_Yellow_Leaf_Curl_Virus\ac9e49c7-e50f-4f54-a81c-284b39e937be___UF.GRC_YLCV_Lab 01978.JPG,35
Blueberry___healthy\220d8e1e-3bc9-476b-892f-d0d866314077___RS_HL 4891.JPG,4
Grape___healthy\49a5f0af-64f3-4d78-bff0-607bac0ad17a___Mt.N.V_HL 6048.JPG,14
Blueberry___healthy\a2b0cc07-c314-4b21-9c67-4f479fe973e8___RS_HL 5115.JPG,4
Cherry_(including_sour)___healthy\048daa26-d38c-477a-96b8-018b3d4ba386___JR_HL 9767.JPG,6
Tomato___Leaf_Mold\aeec2942-315c-4297-90a2-4dc24f491a5c___Crnl_L.Mold 6925.JPG,31
Squash___Powdery_mildew\b5be6fd2-83f9-412c-8f32-60e7be2517b8___MD_Powd.M 0137 copy.jpg,25
Potato___Early_blight\109730cd-03f3-4139-a464-5f9151483e8c___RS_Early.B 6738.JPG,20
Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\5e932db0-3806-40be-a8bf-62aea2f89800___FAM_L.Blight 1523.JPG,13
Soybean___healthy\65ef74de-2c3f-4521-8afd-104049fe9009___RS_HL 2955.JPG,24
Grape___Esca_(Black_Measles)\2eb8951e-beac-4aae-8eed-bf52542aeac2___FAM_B.Msls 1856.JPG,12
"Pepper,_bell___Bacterial_spot\cd35e968-1e90-4fc9-a0d1-574b89bc3019___NREC_B.Spot 9082.JPG",18
Squash___Powdery_mildew\0fc1a8c3-4438-407b-818b-7498c7ba9d0c___UMD_Powd.M 0463.JPG,25
Tomato___healthy\edd71d50-a50f-4f36-af69-6c9df7c040af___GH_HL Leaf 484.1.JPG,37
Tomato___Septoria_leaf_spot\554209e0-920f-49d5-b18b-ca120637ef79___Matt.S_CG 6770.JPG,32
